,Symbol,Name,Company Token,Market Cap,Country
88,angn,angion biomedica corp. common stock,['angion'],22889796.0,united states
91,anip,ani pharmaceuticals inc.,"['ani', '.']",698043788.0,united states
92,anix,anixa biosciences inc. common stock,['anixa'],122153229.0,united states
93,annx,annexon inc. common stock,['annexon'],265594521.0,united states
95,antx,an2 therapeutics inc. common stock,['an2'],113117496.0,united states
96,anvs,annovis bio inc. common stock,['annovis'],117786079.0,united states
98,apgn,apexigen inc. common stock,['apexigen'],11093646.0,united states
99,apgnw,apexigen inc. warrant,['apexigen'],0.0,united states
100,aplt,applied therapeutics inc. common stock,['applied'],74094884.0,united states
101,apm,aptorum group limited class a ordinary shares,['aptorum'],18857710.0,hong kong
104,aptx,aptinyx inc. common stock,['aptinyx'],5281826.0,united states
105,apvo,aptevo therapeutics inc. common stock,['aptevo'],12467817.0,united states
107,aqst,aquestive therapeutics inc. common stock,['aquestive'],113417229.0,united states
108,arav,aravive inc. common stock,['aravive'],97547106.0,united states
110,arct,arcturus therapeutics holdings inc. common stock,['arcturus'],719255257.0,israel
111,ards,aridis pharmaceuticals inc. common stock,['aridis'],6457878.0,united states
112,ardx,ardelyx inc. common stock,['ardelyx'],956061034.0,united states
114,arqt,arcutis biotherapeutics inc. common stock,['arcutis'],903232978.0,united states
115,artl,artelo biosciences inc. common stock,['artelo'],4740442.0,united states
116,artlw,artelo biosciences inc. warrant,['artelo'],0.0,united states
117,arvn,arvinas inc. common stock,['arvinas'],1341908858.0,united states
118,arwr,arrowhead pharmaceuticals inc. common stock,['arrowhead'],4471043529.0,united states
120,asln,aslan pharmaceuticals limited american depositary shares,['aslan'],70620116.0,singapore
121,asmb,assembly biosciences inc. common stock,['assembly'],52223329.0,united states
122,asnd,ascendis pharma a/s american depositary shares,"['ascendis', 'a/s']",5413465382.0,denmark
123,asrt,assertio holdings inc. common stock,['assertio'],344005331.0,united states
125,atai,atai life sciences n.v. common shares,['atai'],334511109.0,germany
